GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Equipo_Rosado,edu.dosw,Application,3,0,0,0,1,0,1,0,1,0
Equipo_Rosado,edu.dosw.model,BillDecorator,0,10,0,0,0,4,0,2,0,2
Equipo_Rosado,edu.dosw.model,EnvioDecorator,0,13,0,0,0,4,0,2,0,2
Equipo_Rosado,edu.dosw.model,DiscountDecorator,0,17,0,0,0,5,0,2,0,2
Equipo_Rosado,edu.dosw.model,Client,9,12,0,0,3,5,3,1,3,1
Equipo_Rosado,edu.dosw.model,IVADecorator,0,13,0,0,0,4,0,2,0,2
Equipo_Rosado,edu.dosw.model,Inventory,16,0,0,0,6,0,4,0,4,0
Equipo_Rosado,edu.dosw.model,Style,0,21,0,0,0,4,0,1,0,1
Equipo_Rosado,edu.dosw.model,Bill,6,19,0,0,2,8,2,3,2,3
Equipo_Rosado,edu.dosw.model,FurniStore,6,0,0,0,3,0,1,0,1,0
Equipo_Rosado,edu.dosw.model,Furniture,9,18,0,0,3,7,3,2,3,2
